"Network.size","Bubble.size","PCR.frequency","R","Percentage.infected","sd"
250,"50","semiweekly",2.5,42.9222222222222,8.20242751145702
250,"50","semiweekly",3,54.3222222222222,5.94529712494201
250,"50","weekly",1,25.4727272727273,4.83620223149203
250,"50","weekly",1.5,33.9272727272727,5.94946647137048
250,"50","weekly",2,44.5090909090909,8.3028284848821
250,"50","weekly",2.5,56.5454545454545,8.66829566301205
250,"50","weekly",3,63.8,7.20249348550619
250,"50","workday",1,18.1090909090909,3.78082333400362
250,"50","workday",1.5,22.4181818181818,4.10932227123467
250,"50","workday",2,27.5818181818182,6.7858023453731
250,"50","workday",2.5,32.6909090909091,7.93650147986382
250,"50","workday",3,42.2,7.2050266313959
250,"none","monthly",1,33.0461538461538,7.20603050184651
250,"none","monthly",1.5,49.9538461538462,7.24234540405019
250,"none","monthly",2,69.2769230769231,6.63070786565206
250,"none","monthly",2.5,78.1846153846154,3.98257124157334
250,"none","monthly",3,86.8,3.90156663690654
250,"none","none",1,36.6769230769231,7.3600265287106
250,"none","none",1.5,55.7846153846154,8.77090502335848
250,"none","none",2,73.3692307692308,5.01100403546982
250,"none","none",2.5,82.4461538461538,4.03316027035646
250,"none","none",3,88.4461538461538,4.07124351294422
250,"none","semiweekly",1,22.3666666666667,3.88216308407387
250,"none","semiweekly",1.5,29.0777777777778,5.66044719650901
250,"none","semiweekly",2,38.6777777777778,8.80240104995347
